"","date","treatment","replicate","mean.dens.ml"
"1",20210301,"C",1,3
"2",20210301,"C",2,3
"3",20210301,"C",3,3
"4",20210301,"D",1,3
"5",20210301,"D",2,3
"6",20210301,"D",3,3
"7",20210301,"P",1,3
"8",20210301,"P",2,3
"9",20210301,"P",3,3
"10",20210302,"C",1,14.9933333333333
"11",20210302,"C",2,31.4205405405405
"12",20210302,"C",3,33.4419591836735
"13",20210302,"D",1,30.0420266666667
"14",20210302,"D",2,13.84
"15",20210302,"D",3,28.5491787439614
"16",20210302,"P",1,46.6833846153846
"17",20210302,"P",2,34.4710559006211
"18",20210302,"P",3,27.4538562091503
"19",20210303,"C",1,43.5895327102804
"20",20210303,"C",2,25.6653164556962
"21",20210303,"C",3,68.6448137535817
"22",20210303,"D",1,92.4142933333333
"23",20210303,"D",2,88.9819733333333
"24",20210303,"D",3,160.802346666667
"25",20210303,"P",1,13.84
"26",20210303,"P",2,20.4323119777159
"27",20210303,"P",3,26.8275362318841
"28",20210304,"C",1,127.21728
"29",20210304,"C",2,98.1348266666667
"30",20210304,"C",3,80.1243733333333
"31",20210304,"D",1,688.56768
"32",20210304,"D",2,503.628373333333
"33",20210304,"D",3,897.49632
"34",20210304,"P",1,13.84
"35",20210304,"P",2,17.6491743119266
"36",20210304,"P",3,51.59552
"37",20210305,"C",1,264.51008
"38",20210305,"C",2,367.36896
"39",20210305,"C",3,250.633173333333
"40",20210305,"D",1,2445.73098666667
"41",20210305,"D",2,2164.13312
"42",20210305,"D",3,2631.29770666667
"43",20210305,"P",1,21.2130952380952
"44",20210305,"P",2,45.2351622418879
"45",20210305,"P",3,39.4637714285714
"46",20210308,"C",1,964.408106666667
"47",20210308,"C",2,765.001386666667
"48",20210308,"C",3,652.58368
"49",20210308,"D",1,4350.52096
"50",20210308,"D",2,5100.79658666667
"51",20210308,"D",3,3099.77248
"52",20210308,"P",1,165.08352
"53",20210308,"P",2,187.78112
"54",20210308,"P",3,170.95168
"55",20210310,"C",1,1037.59402666667
"56",20210310,"C",2,925.803733333333
"57",20210310,"C",3,868.81984
"58",20210310,"D",1,2831.88544
"59",20210310,"D",2,3188.33002666667
"60",20210310,"D",3,3208.51797333333
"61",20210310,"P",1,210.03584
"62",20210310,"P",2,239.26592
"63",20210310,"P",3,304.295466666667
"64",20210312,"C",1,1233.67914666667
"65",20210312,"C",2,1001.97909333333
"66",20210312,"C",3,1043.68362666667
"67",20210312,"D",1,4365.50506666667
"68",20210312,"D",2,4691.09568
"69",20210312,"D",3,3105.51146666667
"70",20210312,"P",1,355.927893333333
"71",20210312,"P",2,186.194133333333
"72",20210312,"P",3,230.039253333333
"73",20210315,"C",1,1201.49653333333
"74",20210315,"C",2,864.354133333333
"75",20210315,"C",3,809.769173333333
"76",20210315,"D",1,2697.24992
"77",20210315,"D",2,2090.65194666667
"78",20210315,"D",3,1604.25898666667
"79",20210315,"P",1,349.8752
"80",20210315,"P",2,228.85824
"81",20210315,"P",3,273.330773333333
"82",20210319,"C",1,812.90624
"83",20210319,"C",2,962.26752
"84",20210319,"C",3,713.5904
"85",20210319,"D",1,3689.55946666667
"86",20210319,"D",2,4545.6096
"87",20210319,"D",3,2844.17536
"88",20210319,"P",1,351.683626666667
"89",20210319,"P",2,318.76288
"90",20210319,"P",3,380.729173333333
